date,district,cases
2014-06-17,Kono,0.0
2014-06-17,Bombali,0.0
2014-06-17,Port Loko,0.0
2014-06-17,Kenema,0.0
2014-06-17,W/Urban,0.0
2014-06-17,W/Rural,0.0
2014-06-17,Pujehun,0.0
2014-06-17,Koinadugu,0.0
2014-06-18,Kambia,0.0
2014-06-18,Koinadugu,0.0
2014-06-18,Port Loko,0.0
2014-06-18,Bonthe,0.0
2014-06-18,Mayamba,0.0
2014-06-18,Tonkolili,0.0
2014-06-18,W/Rural,0.0
2014-06-18,W/Urban,0.0
2014-06-18,Pujehun,0.0
2014-06-18,Bo,0.0
2014-06-18,Bombali,0.0
2014-06-18,Kenema,2.0
2014-06-18,Kono,0.0
2014-06-18,Kailahun,0.0
2014-06-19,W/Rural,0.0
2014-06-19,Kailahun,2.0
2014-06-19,Kenema,1.0
2014-06-19,Bonthe,0.0
2014-06-19,Port Loko,0.0
2014-06-19,Bombali,0.0
2014-06-19,Koinadugu,0.0
2014-06-19,Kono,0.0
2014-06-19,Tonkolili,0.0
2014-06-19,Bo,0.0
2014-06-19,Pujehun,0.0
2014-06-19,Mayamba,0.0
2014-06-19,Kambia,0.0
2014-06-19,W/Urban,0.0
2014-06-20,Bonthe,0.0
2014-06-20,Tonkolili,0.0
2014-06-20,Pujehun,0.0
2014-06-20,W/Rural,0.0
2014-06-20,W/Urban,0.0
2014-06-20,Bo,0.0
2014-06-20,Kambia,0.0
2014-06-20,Kono,0.0
2014-06-20,Mayamba,0.0
2014-06-20,Koinadugu,0.0
2014-06-20,Bombali,0.0
2014-06-20,Kenema,2.0
2014-06-20,Kailahun,0.0
2014-06-20,Port Loko,0.0
2014-06-21,Kenema,7.0
2014-06-21,Mayamba,0.0
2014-06-21,Kambia,0.0
2014-06-21,Tonkolili,0.0
2014-06-21,Bonthe,0.0
2014-06-21,Koinadugu,0.0
2014-06-21,Port Loko,0.0
2014-06-21,Kono,0.0
2014-06-21,Bombali,0.0
2014-06-21,Kailahun,1.0
2014-06-21,Pujehun,0.0
2014-06-21,W/Rural,0.0
2014-06-21,Bo,0.0
2014-06-21,W/Urban,0.0
2014-06-22,Bonthe,0.0
2014-06-22,Kenema,0.0
2014-06-22,Kailahun,9.0
2014-06-22,Koinadugu,0.0
2014-06-22,W/Urban,0.0
2014-06-22,W/Rural,0.0
2014-06-22,Bombali,0.0
2014-06-22,Tonkolili,0.0
2014-06-22,Pujehun,0.0
2014-06-22,Kambia,0.0
2014-06-22,Kono,0.0
2014-06-22,Port Loko,0.0
2014-06-22,Bo,0.0
2014-06-22,Mayamba,0.0
2014-06-23,W/Urban,0.0
2014-06-23,Kenema,0.0
2014-06-23,Kono,0.0
2014-06-23,Mayamba,0.0
2014-06-23,Tonkolili,0.0
2014-06-23,Koinadugu,0.0
2014-06-23,W/Rural,0.0
2014-06-23,Port Loko,0.0
2014-06-23,Kambia,1.0
2014-06-23,Bombali,0.0
2014-06-23,Bonthe,0.0
2014-06-23,Bo,0.0
2014-06-23,Kailahun,6.0
2014-06-23,Pujehun,0.0
2014-06-24,Bombali,0.0
2014-06-24,Bonthe,0.0
2014-06-24,Bo,0.0
2014-06-24,Kailahun,0.0
2014-06-24,Kenema,0.0
2014-06-24,Koinadugu,0.0
2014-06-24,W/Urban,0.0
2014-06-24,Mayamba,0.0
2014-06-24,Kambia,0.0
2014-06-24,Tonkolili,0.0
2014-06-24,Pujehun,0.0
2014-06-24,Port Loko,0.0
2014-06-24,Kono,0.0
2014-06-24,W/Rural,0.0
2014-06-25,Bonthe,0.0
2014-06-25,Bo,0.0
2014-06-25,Pujehun,0.0
2014-06-25,Bombali,0.0
2014-06-25,Port Loko,0.0
2014-06-25,Kailahun,3.0
2014-06-25,Tonkolili,0.0
2014-06-25,Koinadugu,0.0
2014-06-25,Kenema,1.0
2014-06-25,Mayamba,0.0
2014-06-25,Kambia,0.0
2014-06-25,W/Urban,0.0
2014-06-25,W/Rural,0.0
2014-06-25,Kono,0.0
2014-06-26,Koinadugu,0.0
2014-06-26,Bo,0.0
2014-06-26,Kambia,0.0
2014-06-26,Pujehun,0.0
2014-06-26,Bombali,0.0
2014-06-26,Kono,0.0
2014-06-26,Port Loko,0.0
2014-06-26,Tonkolili,0.0
2014-06-26,Bonthe,0.0
2014-06-26,Kenema,0.0
2014-06-26,W/Urban,0.0
2014-06-26,W/Rural,0.0
2014-06-26,Mayamba,0.0
2014-06-26,Kailahun,0.0
2014-06-27,Tonkolili,0.0
2014-06-27,Kambia,0.0
2014-06-27,Bombali,0.0
2014-06-27,Kono,0.0
2014-06-27,Bonthe,0.0
2014-06-27,Mayamba,0.0
2014-06-27,Bo,0.0
2014-06-27,W/Urban,0.0
2014-06-27,Pujehun,0.0
2014-06-27,W/Rural,0.0
2014-06-27,Port Loko,0.0
2014-06-27,Kenema,1.0
2014-06-27,Koinadugu,0.0
2014-06-27,Kailahun,6.0
2014-06-28,Tonkolili,0.0
2014-06-28,Kailahun,0.0
2014-06-28,W/Urban,0.0
2014-06-28,Kenema,0.0
2014-06-28,Bombali,0.0
2014-06-28,Mayamba,0.0
2014-06-28,Koinadugu,0.0
2014-06-28,Pujehun,0.0
2014-06-28,Port Loko,0.0
2014-06-28,W/Rural,0.0
2014-06-28,Bonthe,0.0
2014-06-28,Bo,0.0
2014-06-28,Kono,0.0
2014-06-28,Kambia,0.0
2014-06-29,Bombali,0.0
2014-06-29,Koinadugu,0.0
2014-06-29,W/Urban,0.0
2014-06-29,Bo,0.0
2014-06-29,W/Rural,0.0
2014-06-29,Port Loko,0.0
2014-06-29,Bonthe,0.0
2014-06-29,Mayamba,0.0
2014-06-29,Pujehun,0.0
2014-06-29,Kailahun,2.0
2014-06-29,Kenema,3.0
2014-06-29,Kono,0.0
2014-06-29,Kambia,0.0
2014-06-29,Tonkolili,0.0
2014-06-30,Kambia,0.0
2014-06-30,W/Urban,0.0
2014-06-30,Mayamba,0.0
2014-06-30,Port Loko,0.0
2014-06-30,Pujehun,0.0
2014-06-30,Kailahun,0.0
2014-06-30,W/Rural,0.0
2014-06-30,Koinadugu,0.0
2014-06-30,Kono,0.0
2014-06-30,Kenema,4.0
2014-06-30,Bonthe,0.0
2014-06-30,Bo,0.0
2014-06-30,Bombali,0.0
2014-06-30,Tonkolili,0.0
2014-07-01,Kailahun,3.0
2014-07-01,Koinadugu,0.0
2014-07-01,Bombali,0.0
2014-07-01,Kono,0.0
2014-07-01,W/Urban,0.0
2014-07-01,Pujehun,0.0
2014-07-01,Bonthe,0.0
2014-07-01,Port Loko,0.0
2014-07-01,Kambia,0.0
2014-07-01,Bo,0.0
2014-07-01,W/Rural,0.0
2014-07-01,Tonkolili,0.0
2014-07-01,Mayamba,0.0
2014-07-01,Kenema,2.0
2014-07-02,Kambia,0.0
2014-07-02,Bombali,0.0
2014-07-02,Mayamba,0.0
2014-07-02,Bonthe,0.0
2014-07-02,Kenema,4.0
2014-07-02,W/Urban,0.0
2014-07-02,Kailahun,19.0
2014-07-02,Pujehun,0.0
2014-07-02,Kono,0.0
2014-07-02,Koinadugu,0.0
2014-07-02,Bo,0.0
2014-07-02,Tonkolili,0.0
2014-07-02,W/Rural,0.0
2014-07-02,Port Loko,0.0
2014-07-03,Tonkolili,0.0
2014-07-03,Bo,0.0
2014-07-03,Pujehun,0.0
2014-07-03,Bombali,0.0
2014-07-03,W/Rural,0.0
2014-07-03,W/Urban,0.0
2014-07-03,Port Loko,0.0
2014-07-03,Bonthe,0.0
2014-07-03,Kambia,0.0
2014-07-03,Kenema,4.0
2014-07-03,Kono,0.0
2014-07-03,Koinadugu,0.0
2014-07-03,Kailahun,3.0
2014-07-03,Mayamba,0.0
2014-07-04,Bombali,0.0
2014-07-04,Kenema,4.0
2014-07-04,Kono,0.0
2014-07-04,Tonkolili,0.0
2014-07-04,Pujehun,0.0
2014-07-04,Bo,0.0
2014-07-04,W/Rural,0.0
2014-07-04,W/Urban,0.0
2014-07-04,Bonthe,0.0
2014-07-04,Port Loko,0.0
2014-07-04,Koinadugu,0.0
2014-07-04,Kailahun,2.0
2014-07-04,Mayamba,0.0
2014-07-04,Kambia,0.0
2014-07-05,Tonkolili,0.0
2014-07-05,W/Rural,0.0
2014-07-05,Kono,0.0
2014-07-05,Bombali,0.0
2014-07-05,Mayamba,0.0
2014-07-05,Bonthe,0.0
